Rocky Mountain (PADD 4) Refinery and Blender Net Input of Crude Oil Monthly
https://www.eia.gov/opendata/qb.php?sdid=PET.MCRRIP42.M
22:15:16 GMT+0530 (India Standard Time)
Source: U.S. Energy Information Administration
Month,Series ID: PET.MCRRIP42.M Thousand Barrels per Day
Sep 1994,481
Aug 1994,470
Jul 1994,478
Jun 1994,486
May 1994,469
Apr 1994,430
Mar 1994,414
Feb 1994,445
Jan 1994,448
Dec 1993,446
Nov 1993,459
Oct 1993,452
Sep 1993,479
Aug 1993,472
Jul 1993,467
Jun 1993,478
May 1993,454
Apr 1993,398
Mar 1993,439
Feb 1993,406
Jan 1993,413
Dec 1992,429
Nov 1992,428
Oct 1992,440
Sep 1992,455
Aug 1992,448
Jul 1992,471
Jun 1992,437
May 1992,432
Apr 1992,413
Mar 1992,446
Feb 1992,402
Jan 1992,410
Dec 1991,423
Nov 1991,457
Oct 1991,474
Sep 1991,461
Aug 1991,496
Jul 1991,486
Jun 1991,483
May 1991,461
Apr 1991,428
Mar 1991,454
Feb 1991,433
Jan 1991,405
Dec 1990,427
Nov 1990,436
Oct 1990,437
Sep 1990,489
Aug 1990,508
Jul 1990,498
Jun 1990,493
May 1990,490
Apr 1990,432
Mar 1990,423
Feb 1990,441
Jan 1990,441
Dec 1989,460
Nov 1989,468
Oct 1989,446
Sep 1989,494
Aug 1989,499
Jul 1989,490
Jun 1989,495
May 1989,475
Apr 1989,412
Mar 1989,413
Feb 1989,412
Jan 1989,431
Dec 1988,443
Nov 1988,442
Oct 1988,418
Sep 1988,470
Aug 1988,498
Jul 1988,488
Jun 1988,494
May 1988,483
Apr 1988,430
Mar 1988,406
Feb 1988,425
Jan 1988,421
Dec 1987,431
Nov 1987,438
Oct 1987,437
Sep 1987,461
Aug 1987,480
Jul 1987,476
Jun 1987,455
May 1987,431
Apr 1987,430
Mar 1987,361
Feb 1987,418
Jan 1987,419
Dec 1986,423
Nov 1986,432
Oct 1986,427
Sep 1986,444
Aug 1986,465
Jul 1986,473
Jun 1986,471
May 1986,450
Apr 1986,421
Mar 1986,377
Feb 1986,374
Jan 1986,409
Dec 1985,419
Nov 1985,428
Oct 1985,438
Sep 1985,454
Aug 1985,481
Jul 1985,460
Jun 1985,469
May 1985,471
Apr 1985,339
Mar 1985,402
Feb 1985,396
Jan 1985,420
Dec 1984,436
Nov 1984,439
Oct 1984,438
Sep 1984,442
Aug 1984,452
Jul 1984,461
Jun 1984,456
May 1984,456
Apr 1984,426
Mar 1984,414
Feb 1984,403
Jan 1984,403
Dec 1983,408
Nov 1983,438
Oct 1983,442
Sep 1983,454
Aug 1983,459
Jul 1983,464
Jun 1983,443
May 1983,424
Apr 1983,376
Mar 1983,366
Feb 1983,360
Jan 1983,400
Dec 1982,447
Nov 1982,428
Oct 1982,427
Sep 1982,442
Aug 1982,452
Jul 1982,446
Jun 1982,436
May 1982,378
Apr 1982,357
Mar 1982,384
Feb 1982,380
Jan 1982,412
Dec 1981,451
Nov 1981,463
Oct 1981,391
Sep 1981,441
Aug 1981,457
Jul 1981,454
Jun 1981,448
May 1981,403
Apr 1981,366
Mar 1981,391
Feb 1981,408
Jan 1981,431
