East Coast (PADD 1) Refinery and Blender Net Input of Crude Oil Monthly
https://www.eia.gov/opendata/qb.php?sdid=PET.MCRRIP12.M
21:52:07 GMT+0530 (India Standard Time)
Source: U.S. Energy Information Administration
Month,Series ID: PET.MCRRIP12.M Thousand Barrels per Day
Dec 1986,1224
Nov 1986,1203
Oct 1986,1281
Sep 1986,1311
Aug 1986,1332
Jul 1986,1290
Jun 1986,1338
May 1986,1283
Apr 1986,1104
Mar 1986,1092
Feb 1986,1082
Jan 1986,1128
Dec 1985,1192
Nov 1985,1144
Oct 1985,1198
Sep 1985,1107
Aug 1985,1186
Jul 1985,1196
Jun 1985,1226
May 1985,1152
Apr 1985,1148
Mar 1985,1106
Feb 1985,1095
Jan 1985,1079
Dec 1984,1205
Nov 1984,1181
Oct 1984,1078
Sep 1984,1169
Aug 1984,1228
Jul 1984,1158
Jun 1984,1180
May 1984,1130
Apr 1984,813
Mar 1984,1035
Feb 1984,1057
Jan 1984,1032
Dec 1983,923
Nov 1983,907
Oct 1983,988
Sep 1983,1174
Aug 1983,1181
Jul 1983,1121
Jun 1983,1096
May 1983,1076
Apr 1983,1062
Mar 1983,894
Feb 1983,967
Jan 1983,1055
Dec 1982,1132
Nov 1982,1181
Oct 1982,1111
Sep 1982,1171
Aug 1982,1150
Jul 1982,1291
Jun 1982,1349
May 1982,1092
Apr 1982,1173
Mar 1982,1201
Feb 1982,1240
Jan 1982,1273
Dec 1981,1314
Nov 1981,1375
Oct 1981,1337
Sep 1981,1293
Aug 1981,1374
Jul 1981,1289
Jun 1981,1281
May 1981,1140
Apr 1981,1286
Mar 1981,1399
Feb 1981,1459
Jan 1981,1470
